 TOT   INH   IND
  .1    .1     -                                    Gauge.Source.RUsage with.\ (40)
  .1    .1     -                                      Gauge.Source.Time withMetrics (40)
  .1    .1     -                                        Gauge.Source.Time withMetrics.\ (40)
  .1    .1     -                                          Data.Grid.Internal.Grid rnf (0)
  .1    .1     -                                            Data.Vector rnf (220)
  .1    .1    .1                                              Data.Vector rnf.rnfAll (5500220)


 3.4   3.4   3.4  Control.Monad.Primitive primitive (0)


 8.5   3.1   2.8  Data.Grid.Internal.Grid index (109593848)
 4.3     -     -    Data.Grid.Internal.Coord fromEnum (109593848)
 1.1     -     -    Data.Vector basicUnsafeIndexM (98393848)


 2.9   2.9   2.9  Data.Grid.Internal.Coord highestIndex (787150784)


 4.5   2.6    .3  Data.Grid.Internal.Grid * (4480000)
 4.0   2.1   2.2    Data.Grid.Internal.Grid liftA2 (4480000)
  .9     -     -      Data.Vector.Fusion.Stream.Monadic fmap (0)
  .4     -     -      Data.Vector basicUnsafeIndexM (80640000)
  .2     -     -      Data.Vector basicUnsafeFreeze (4480000)
  .2     -     -      Data.Vector.Mutable basicUnsafeNew (4480000)
  .2     -     -      Data.Vector.Mutable basicUnsafeSlice (44800000)


 2.3   2.3   2.3  Data.Vector.Mutable basicUnsafeSlice (584272484)


 1.7   1.6   1.5  Data.Vector basicUnsafeFreeze (32387450)
  .1     -     -    Control.Monad.Primitive primitive (0)


 4.0   1.4   1.2  Data.Grid.Internal.Grid tabulate (672)
  .8    .1     -    Control.Comonad.Representable.Store runStore (0)
  .7     -     -      Data.Grid.Internal.Grid index (5600000)
  .7     -     -    Data.Grid.Internal.Coord toEnum (16800000)
  .6     -     -    Data.Grid.Internal.Grid index (5600000)
  .6     -     -    Data.Vector.Fusion.Util >>= (33600672)


 1.9   1.3   1.0  Data.Vector.Mutable basicUnsafeNew (32387450)
  .6     -     -    Control.Monad.Primitive primitive (0)


 1.0    .8     -  Data.Grid.Internal.Grid sum (4480000)
  .9    .7    .7    Data.Vector sum (4480000)
  .2     -     -      Data.Vector basicUnsafeIndexM (40320000)


86.0     -     -  Data.Grid.Internal.Convolution autoConvolute (0)
63.8     -     -    Data.Grid.Internal.Convolution convolute (224)
63.8     -     -      Data.Grid.Internal.Convolution usingStore (224)
60.8     -     -        Data.Grid.Internal.Convolution convolute.conv (0)
60.8     -     -          Control.Comonad extend (224)
59.8     -     -            Control.Comonad.Representable.Store fmap (224)
59.8     -     -              Data.Grid.Internal.Grid fmap (0)
 1.0     -     -            Data.Grid.Internal.Grid tabulate (224)
 1.6     -     -        Data.Grid.Internal.Grid tabulate (224)
 1.4     -     -        Control.Comonad.Representable.Store store (224)
 1.4     -     -          Control.Comonad.Representable.Store storeT (224)
 1.4     -     -            Data.Grid.Internal.Grid tabulate (224)
22.3    .1    .2    Data.Grid.Internal.Convolution window (0)
12.1     -     -      Data.Grid.Internal.Convolution neighboring (5600000)
12.1     -     -        Data.Grid.Internal.Grid fmap (0)
10.1     -     -      Data.Grid.Internal.Convolution window.fromWindow (0)
10.1     -     -        Data.Grid.Internal.Grid fmap (0)
